epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,602.606,1.70299,13.3678,1.31005,0.29489,0.11405,0.08927,0.03945,2.00054,13.1565,1.95569,0.000554618,0.000554618,0.000554618
2,1231.66,1.6372,5.8889,1.33507,0.25532,0.11612,0.08585,0.03554,2.04062,5.64408,1.84885,0.00100037,0.00100037,0.00100037
3,1850.27,1.70013,3.01675,1.37129,0.2688,0.0999,0.0871,0.04066,2.06192,4.36424,2.05073,0.00133609,0.00133609,0.00133609
4,2460.34,1.73851,2.26034,1.40838,0.30289,0.0982,0.09601,0.04205,2.07015,3.65619,1.85046,0.0011719,0.0011719,0.0011719
5,3027.68,1.5234,1.84123,1.28213,0.3002,0.11674,0.11748,0.05697,1.97758,3.49281,1.81154,0.00100687,0.00100687,0.00100687
6,3542.74,1.49417,1.6526,1.23034,0.33235,0.09992,0.11137,0.05506,1.91794,3.60171,1.73838,0.000841835,0.000841835,0.000841835
7,4034.19,1.40806,1.46569,1.20253,0.36152,0.11954,0.13206,0.06824,1.89087,3.54846,1.73699,0.000676802,0.000676802,0.000676802
8,4523.39,1.39606,1.40792,1.20942,0.27946,0.128,0.1007,0.05258,1.83187,3.56517,1.74556,0.000511769,0.000511769,0.000511769
9,5037.39,1.32055,1.34462,1.14755,0.34122,0.15494,0.15372,0.07938,1.76693,3.37389,1.67681,0.000346736,0.000346736,0.000346736
10,5538.96,1.26974,1.20422,1.1308,0.30437,0.15262,0.15175,0.07911,1.73831,3.3562,1.659,0.000181703,0.000181703,0.000181703
